/programs/stacks/bin/populations -P stacks.M6 -O stacks.M6/populations.r80 -t 24 -r 0.80
/programs/stacks/bin/populations version 1.48 executed 2021-07-16 07:26:41

# Distribution of population loci.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
1	53546
2	17363
3	9737
4	6218
5	4643
6	3591
7	3033
8	2681
9	2310
10	2271
11	2343
12	2715
13	5573
# Distribution of confounded loci at catalog locus.
# Confounded samples at locus	Count
0	114813
1	840
2	215
3	78
4	42
5	15
6	9
7	5
8	3
10	1
11	3
# Distribution of missing loci at catalog loci.
# Absent samples at locus	Count
0	114813
1	840
2	215
3	78
4	42
5	15
6	9
7	5
8	3
10	1
11	3
# Distribution of population loci after applying locus constraints.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
11	2343
12	2715
13	5573
# Distribution of confounded loci at catalog locus.
# Confounded samples at locus	Count
0	10294
1	276
2	61
# Distribution of missing loci at catalog loci.
# Absent samples at locus	Count
0	10294
1	276
2	61
Population defaultpop contained 1490 incompatible loci -- more than two alleles present.
Population defaultpop contained 0 incompatible loci -- more than two alleles present.
# Distribution of the number of SNPs per locus.
#n_snps	n_loci
0	874
1	1269
2	1397
3	1304
4	1186
5	1112
6	892
7	725
8	586
9	437
10	253
11	186
12	164
13	88
14	61
15	30
16	11
17	8
18	13
19	7
20	1
21	2
22	1
23	0
24	1
