/programs/stacks/bin/populations -P stacks.M8 -O stacks.M8/populations.r80 -t 24 -r 0.80
/programs/stacks/bin/populations version 1.48 executed 2021-07-16 07:26:57

# Distribution of population loci.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
1	50305
2	16482
3	9255
4	5956
5	4523
6	3489
7	2996
8	2643
9	2282
10	2250
11	2322
12	2683
13	5809
# Distribution of confounded loci at catalog locus.
# Confounded samples at locus	Count
0	110162
1	567
2	166
3	54
4	20
5	13
6	4
7	4
8	3
9	2
# Distribution of missing loci at catalog loci.
# Absent samples at locus	Count
0	110162
1	567
2	166
3	54
4	20
5	13
6	4
7	4
8	3
9	2
# Distribution of population loci after applying locus constraints.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
11	2322
12	2683
13	5809
# Distribution of confounded loci at catalog locus.
# Confounded samples at locus	Count
0	10621
1	152
2	41
# Distribution of missing loci at catalog loci.
# Absent samples at locus	Count
0	10621
1	152
2	41
Population defaultpop contained 1902 incompatible loci -- more than two alleles present.
Population defaultpop contained 0 incompatible loci -- more than two alleles present.
# Distribution of the number of SNPs per locus.
#n_snps	n_loci
0	848
1	1232
2	1365
3	1267
4	1144
5	1062
6	836
7	708
8	596
9	493
10	332
11	252
12	218
13	143
14	96
15	66
16	43
17	34
18	19
19	13
20	10
21	6
22	5
23	2
24	3
