/programs/stacks/bin/populations -P stacks.M3 -O stacks.M3/populations.r80 -t 24 -r 0.80
/programs/stacks/bin/populations version 1.48 executed 2021-07-16 07:26:19

# Distribution of population loci.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
1	64896
2	20682
3	11326
4	6968
5	5090
6	3920
7	3220
8	2867
9	2467
10	2413
11	2350
12	2682
13	4553
# Distribution of confounded loci at catalog locus.
# Confounded samples at locus	Count
0	130434
1	1981
2	555
3	239
4	110
5	53
6	28
7	14
8	12
9	3
10	2
11	1
12	2
# Distribution of missing loci at catalog loci.
# Absent samples at locus	Count
0	130434
1	1981
2	555
3	239
4	110
5	53
6	28
7	14
8	12
9	3
10	2
11	1
12	2
# Distribution of population loci after applying locus constraints.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
11	2350
12	2682
13	4553
# Distribution of confounded loci at catalog locus.
# Confounded samples at locus	Count
0	8713
1	691
2	181
# Distribution of missing loci at catalog loci.
# Absent samples at locus	Count
0	8713
1	691
2	181
Population defaultpop contained 721 incompatible loci -- more than two alleles present.
Population defaultpop contained 0 incompatible loci -- more than two alleles present.
# Distribution of the number of SNPs per locus.
#n_snps	n_loci
0	959
1	1425
2	1604
3	1593
4	1352
5	1068
6	652
7	421
8	249
9	124
10	59
11	30
12	12
13	7
14	2
15	2
