/programs/stacks/bin/populations -P stacks.M1 -O stacks.M1/populations.r80 -t 24 -r 0.80
/programs/stacks/bin/populations version 1.48 executed 2021-07-16 07:26:04

# Distribution of population loci.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
0	2
1	96789
2	27801
3	13960
4	8335
5	5796
6	4356
7	3610
8	3035
9	2601
10	2423
11	2272
12	2270
13	2777
# Distribution of confounded loci at catalog locus.
# Confounded samples at locus	Count
0	171741
1	2867
2	825
3	308
4	156
5	62
6	27
7	21
8	11
9	5
10	2
11	2
# Distribution of missing loci at catalog loci.
# Absent samples at locus	Count
0	171741
1	2867
2	825
3	308
4	156
5	62
6	27
7	21
8	11
9	5
10	2
11	2
# Distribution of population loci after applying locus constraints.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
11	2272
12	2270
13	2777
# Distribution of confounded loci at catalog locus.
# Confounded samples at locus	Count
0	6077
1	972
2	270
# Distribution of missing loci at catalog loci.
# Absent samples at locus	Count
0	6077
1	972
2	270
Population defaultpop contained 142 incompatible loci -- more than two alleles present.
Population defaultpop contained 0 incompatible loci -- more than two alleles present.
# Distribution of the number of SNPs per locus.
#n_snps	n_loci
0	1351
1	2415
2	1925
3	1028
4	353
5	136
6	33
7	5
8	2
9	2
